non-linear ESL,,linear ESL,,3D FEM,
X,Y,X,Y,X,Y
0,0.016172506738545422,0,0.016172506738545422,0.000011568316694243741,0.04851752021563449
0.1933007878023668,0.48517520215633425,0.29209421237115774,0.711590296495956,0.27062341658665245,0.6792452830188669
0.3608273660099718,0.8894878706199467,0.49398447531899625,1.1967654986522902,0.5541281538123389,1.3584905660377338
0.5670152586097196,1.3908355795148228,0.7044642134123061,1.698113207547168,0.8290376317342062,2.0053908355795134
0.8548176254873155,2.0862533692722387,0.9149381673472695,2.183288409703504,1.129727103409183,2.7331536388140165
1.142619992364911,2.7816711590296492,1.1812639542820125,2.8301886792452837,1.4046365813310508,3.3800539083557943
1.5206205245074789,3.671159029649596,1.5291868630195622,3.6226415094339615,1.6580636951517187,3.962264150943396
1.9974029129021442,4.754716981132075,1.894306074523096,4.4959568733153645,1.975926332959291,4.706199460916443
2.444101893733443,5.725067385444745,2.3238492416968413,5.498652291105122,2.2808902976527885,5.385444743935311
2.9681061508739863,6.840970350404313,2.7705655750031815,6.517520215633423,2.611622687782701,6.113207547169812
3.39759147646426,7.681940700808626,3.2086750806890083,7.471698113207548,2.9251645593049758,6.776280323450136
3.5607972883865675,8.005390835579515,3.7927767430561183,8.619946091644206,3.178568536492255,7.293800539083558
3.6294957370752985,8.086253369272239,3.9559652025033842,8.894878706199462,3.4061925199264267,7.73045822102426
3.676717605821177,8.118598382749326,4.37247666092107,9.460916442048518,3.5908633434748913,8.070080862533693
3.8226114318105577,8.037735849056604,4.668729683143805,9.784366576819409,3.66384206934049,8.118598382749326
3.9255636662309272,7.892183288409704,4.879105306386868,9.994609164420487,3.7282313200606185,8.150943396226417
4.045706419258933,7.811320754716982,5.007906944460512,10.123989218328843,3.792528024247192,7.924528301886793
4.135817822148699,7.762803234501348,,,3.8610355957104683,7.471698113207548
,,,,3.9510486679083328,7.148247978436658
,,,,4.075390719896347,6.808625336927224
,,,,4.216923290492001,6.533692722371969
,,,,4.3198466041206345,6.307277628032346
,,,,4.465676804368196,6.048517520215634
,,,,4.59433962264151,5.789757412398922
,,,,4.7187163795796065,5.547169811320756
,,,,4.8388128593408375,5.336927223719677
,,,,4.963206968753975,5.142857142857143
,,,,5.010394132549773,5.078167115902966